"Frekvens","Allokering","Bruk"
"2655 - 2670 MHz (5.149 | 5.208B | ECA16)","Earth Exploration-Satellite (passive)  | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.384A) | Radio Astronomy  | Space Research (passive)","MCV | MFCN | PMSE | Radio astronomy"
"2670 - 2690 MHz (5.149)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.384A) | Radio Astronomy","MCV | MFCN | Radio astronomy"
"2690 - 2700 MHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"2700 - 2900 MHz (5.423 | ECA36)","AERONAUTICAL RADIONAVIGATION (5.337) | Radiolocation","Aeronautical navigation | Radiolocation (civil) | Radiolocation (military) | Weather radar"
"2900 - 3100 MHz (5.425 | 5.427 | ECA36)","RADIOLOCATION (5.424A) | RADIONAVIGATION (5.426)","Radiolocation (civil) | Radiolocation (military)"
"3100 - 3300 MHz (5.149 | ECA36)","Earth Exploration-Satellite (active)  | RADIOLOCATION  | Space Research (active)","Active sensors (satellite) | Radio astronomy | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"3300 - 3400 MHz (5.149 | ECA36)","RADIOLOCATION","Radio astronomy | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"3400 - 3600 MHz (ECA17 | ECA36)","Amateur  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.430A) | Radiolocation","Amateur | BWA | FSS Earth stations | MFCN | PMSE | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"3600 - 4200 MHz (ECA37)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE","- | BWA | ESV | FSS Earth stations | Fixed | MFCN | UWB applications"
"4200 - 4400 MHz (5.437 | 5.440 | ECA36)","AERONAUTICAL MOBILE (R) (5.436) | AERONAUTICAL RADIONAVIGATION (5.438)","Aeronautical military systems | Altimeters | Passive sensors (satellite) | UWB applications | WAIC"
"4400 - 4500 MHz (ECA20 | ECA36)","FIXED  | MOBILE","Aeronautical military systems | Land military systems | Maritime military systems | PMSE | Telemetry/Telecommand (military) | UWB applications"
"4500 - 4800 MHz (ECA20 | ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.441) | MOBILE","Aeronautical military systems | FSS Earth stations | Land military systems | Maritime military systems | PMSE | Radiodetermination applications | Telemetry/Telecommand (military) | UWB applications"
"4800 - 4990 MHz (5.149 | 5.339 | ECA20 | ECA36)","FIXED  | MOBILE (5.440A | 5.440A | 5.440A | 5.440A) | Radio Astronomy","Aeronautical military systems | BBDR | Land military systems | Maritime military systems | PMSE | Passive sensors (satellite) | Radio astronomy | Radiodetermination applications | Telemetry/Telecommand (military)"
"4990 - 5000 MHz (5.149 | ECA20 | ECA36)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY","Land military systems | Maritime military systems | PMSE | Radio astronomy | Radiodetermination applications | Telemetry/Telecommand (military)"
"5000 - 5010 MHz","AERONAUTICAL MOBILE-SATELLITE (R) (5.443AA) | AERONAUTICAL RADIONAVIGATION  | Radio Astronomy  | RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE)  | Space Research (passive)","GALILEO | Radio astronomy | Radiodetermination applications | Satellite navigation systems"
"5010 - 5030 MHz","AERONAUTICAL MOBILE-SATELLITE (R) (5.443AA) | AERONAUTICAL RADIONAVIGATION  | Radio Astronomy  | RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH) (SPACE-TO-SPACE) (5.443B | 5.443B) | Space Research (passive)","GALILEO | Radio astronomy | Radiodetermination applications | Satellite navigation systems"
"5030 - 5091 MHz (5.444)","AERONAUTICAL MOBILE (R) (5.443C) | AERONAUTICAL MOBILE-SATELLITE (R) (5.443D) | AERONAUTICAL RADIONAVIGATION","MLS | Radiodetermination applications"
"5091 - 5150 MHz (5.444)","AERONAUTICAL MOBILE (5.444B) | AERONAUTICAL MOBILE-SATELLITE (R) (5.443AA) | AERONAUTICAL RADIONAVIGATION  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.444A)","- | Radiodetermination applications"
"5150 - 5250 MHz (5.446 | 5.446C | 5.447 | 5.447B | 5.447C)","AERONAUTICAL RADIONAVIGATION  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.447A) | MOBILE EXCEPT AERONAUTICAL MOBILE (5.446B | 5.446B)","Aeronautical telemetry | BBDR | Feeder links | Radio LANs | Radiodetermination applications"
"5250 - 5255 MHz (5.448A | ECA22 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.446A | 5.446A) | RADIOLOCATION  | SPACE RESEARCH (5.447D)","- | Active sensors (satellite) | Maritime radar | Radio LANs | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5255 - 5350 MHz (5.448A | ECA22 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.446A | 5.446A) | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","- | Active sensors (satellite) | Maritime radar | Radio LANs | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5350 - 5450 MHz (ECA22 | ECA36)","AERONAUTICAL RADIONAVIGATION (5.449) | EARTH EXPLORATION-SATELLITE (ACTIVE) (5.448B) | Fixed  | RADIOLOCATION (5.448D) | SPACE RESEARCH (ACTIVE) (5.448C)","- | Active sensors (satellite) | Maritime radar | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5450 - 5460 MHz (ECA22 | ECA36)","AERONAUTICAL RADIONAVIGATION (5.449) | EARTH EXPLORATION-SATELLITE (ACTIVE) (5.448B) | Fixed  | RADIOLOCATION (5.448D) | SPACE RESEARCH (ACTIVE) (5.448C)","- | Active sensors (satellite) | Maritime radar | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5460 - 5470 MHz (5.448B | ECA22 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION (5.448D) | RADIONAVIGATION (5.449) | SPACE RESEARCH (ACTIVE)","- | Active sensors (satellite) | Maritime radar | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5470 - 5570 MHz (5.448B | ECA22 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | MARITIME RADIONAVIGATION  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.450A | 5.450A) | RADIOLOCATION (5.450B) | SPACE RESEARCH (ACTIVE)","- | Active sensors (satellite) | Maritime radar | Radio LANs | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5570 - 5650 MHz (5.452 | ECA22 | ECA36)","MARITIME RADIONAVIGATION  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.450A | 5.450A) | RADIOLOCATION (5.450B)","- | Maritime radar | Radio LANs | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5650 - 5725 MHz (5.282 | ECA17 | ECA22 | ECA23 | ECA36)","Amateur  | Amateur-Satellite (Earth-to-space)  | MOBILE EXCEPT AERONAUTICAL MOBILE (5.450A | 5.450A) | RADIOLOCATION","- | Amateur | Amateur-satellite | Maritime radar | Radio LANs | Radiodetermination applications | Radiolocation (military) | Weather radar"
"5725 - 5830 MHz (5.150 | ECA22 | ECA36)","Amateur  | Fixed  | FIXED-SATELLITE (EARTH-TO-SPACE)  | Mobile  | RADIOLOCATION","Amateur | BFWA | ISM | Non-specific SRDs | Radiodetermination applications | Radiolocation (military) | TTT | WIA | Weather radar"
"5830 - 5850 MHz (5.150 | ECA22 | ECA23 | ECA36)","Amateur  | Amateur-Satellite (space-to-Earth)  | Fixed  | FIXED-SATELLITE (EARTH-TO-SPACE)  | Mobile  | RADIOLOCATION","Amateur | Amateur-satellite | BFWA | ISM | Non-specific SRDs | Radiodetermination applications | Radiolocation (military) | WIA | Weather radar"
"5850 - 5925 MHz (5.150)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE","BFWA | DA2GC | FSS Earth stations | ISM | ITS | Non-specific SRDs | Radiodetermination applications | WIA"
"5925 - 6700 MHz (5.149 | 5.440 | 5.458)","Earth Exploration-Satellite (passive)  | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)","- | ESV | FSS Earth stations | Fixed | Passive sensors (satellite) | Radiodetermination applications | UWB applications"
"6700 - 7075 MHz (5.458 | 5.458A | 5.458B)","Earth Exploration-Satellite (passive)  | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (SPACE-TO-EARTH) (5.441)","FSS Earth stations | Feeder links | Fixed | Passive sensors (satellite) | Radiodetermination applications | UWB applications"
"7075 - 7145 MHz (5.458)","Earth Exploration-Satellite (passive)  | FIXED","Fixed | Passive sensors (satellite) | Radiodetermination applications | UWB applications"
"7145 - 7190 MHz (5.458)","FIXED  | MOBILE  | Space Operation (Earth-to-space)  | SPACE RESEARCH (DEEP SPACE) (EARTH-TO-SPACE)","Fixed | Radiodetermination applications | UWB applications"
"7190 - 7235 MHz (5.458)","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE) (5.460A | 5.460A) | FIXED  | MOBILE  | SPACE RESEARCH (EARTH-TO-SPACE) (5.460)","Fixed | Passive sensors (satellite) | Radiodetermination applications | UWB applications"
"7235 - 7250 MHz","EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE) (5.460A) | FIXED  | Space Research (Earth-to-space)","Fixed | Passive sensors (satellite) | Radiodetermination applications | UWB applications"
"7250 - 7300 MHz (5.461 | ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE","Fixed | Land military systems | MSS Earth stations | Radiodetermination applications | Satellite systems (military) | UWB applications"
"7300 - 7375 MHz (5.461 | ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | MSS Earth stations | Radiodetermination applications | Satellite systems (military) | UWB applications"
"7375 - 7450 MHz (ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH) (5.461AB | 5.461AB) | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | MSS Earth stations | Radiodetermination applications | Satellite systems (military) | UWB applications"
"7450 - 7550 MHz (5.461A | ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH) (5.461AB | 5.461AB) | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)  | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | Radiodetermination applications | Satellite systems (military) | UWB applications | Weather satellites"
"7550 - 7750 MHz (ECA36)","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH)  | MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH) (5.461AB | 5.461AB) | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Land military systems | Radiodetermination applications | Satellite systems (military) | UWB applications"
"7750 - 7900 MHz","FIXED  | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH) (5.461B) | MOBILE EXCEPT AERONAUTICAL MOBILE","Fixed | Radiodetermination applications | UWB applications | Weather satellites"
"7900 - 8025 MHz (5.461 | ECA36)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE","Fixed | Land military systems | MSS Earth stations | Radiodetermination applications | Satellite systems (military) | UWB applications"
"8025 - 8175 MHz (5.462A | ECA36)","EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH)  | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | MOBILE (5.463)","Earth exploration-satellite | Fixed | Land military systems | Land mobile | Radiodetermination applications | Satellite systems (military) | UWB applications"
"8175 - 8215 MHz (5.462A | ECA36)","EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH)  | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)  | METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE)  | MOBILE (5.463)","Earth exploration-satellite | Fixed | Land military systems | Land mobile | Radiodetermination applications | Satellite systems (military) | UWB applications"
"8215 - 8400 MHz (5.462A | 5.463)","EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH)  | FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE)","Earth exploration-satellite | Fixed | Land military systems | Radio astronomy | Radiodetermination applications | Satellite systems (military) | UWB applications"
"8400 - 8500 MHz","FIXED  | Radiolocation  | SPACE RESEARCH (SPACE-TO-EARTH) (5.465)","Fixed | Radiodetermination applications | Space research | UWB applications"
"8500 - 8550 MHz (5.469 | ECA24 | ECA36)","RADIOLOCATION","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"8550 - 8650 MHz (5.469 | 5.469A | ECA24 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"8650 - 8750 MHz (5.469 | ECA24 | ECA36)","RADIOLOCATION","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"8750 - 8850 MHz (ECA24 | ECA36)","AERONAUTICAL RADIONAVIGATION (5.470) | RADIOLOCATION  | Space Research","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"8850 - 9000 MHz (5.473 | ECA24 | ECA36)","MARITIME RADIONAVIGATION (5.472) | RADIOLOCATION  | Space Research","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | UWB applications"
"9000 - 9200 MHz (5.471 | 5.473A | ECA24 | ECA36)","AERONAUTICAL RADIONAVIGATION (5.337) | RADIOLOCATION  | Space Research","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military)"
"9200 - 9300 MHz (5.473 | 5.474 | 5.474D | ECA24 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE) (5.474B | 5.474B | 5.474B) | MARITIME RADIONAVIGATION (5.472) | RADIOLOCATION  | Space Research","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Synthetic aperture radar"
"9300 - 9500 MHz (5.427 | 5.474 | 5.475 | 5.475A | 5.475B | 5.476A | ECA24 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | RADIONAVIGATION (5.476A) | SPACE RESEARCH (ACTIVE)","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military) | Weather radar"
"9500 - 9800 MHz (5.476A | ECA24 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military)"
"9800 - 9900 MHz (5.478A | 5.478B | ECA24 | ECA36)","Earth Exploration-Satellite (active)  | RADIOLOCATION  | Space Research (active)","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military)"
"9900 - 10000 MHz (5.477 | 5.478 | 5.479)","EARTH EXPLORATION-SATELLITE (ACTIVE) (5.474B | 5.474B | 5.474B) | Fixed  | RADIOLOCATION","Aeronautical military systems | Aeronautical navigation | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Satellite systems (military) | Synthetic aperture radar"
"10000 - 10400 MHz (5.474D | 5.479 | ECA17A | ECA36)","Amateur  | EARTH EXPLORATION-SATELLITE (ACTIVE) (5.474B | 5.474B | 5.474B) | FIXED  | MOBILE  | RADIOLOCATION","Aeronautical military systems | Amateur | BFWA | Fixed | Land military systems | Maritime military systems | PMSE | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military) | Synthetic aperture radar"
"10400 - 10450 MHz (ECA17 | ECA17A | ECA36)","Amateur  | FIXED  | Mobile  | RADIOLOCATION","Aeronautical military systems | Amateur | Land military systems | Maritime military systems | PMSE | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military)"
"10450 - 10500 MHz (5.481 | ECA17 | ECA17A | ECA23 | ECA36)","Amateur  | Amateur-Satellite  | FIXED  | MOBILE  | RADIOLOCATION","Aeronautical military systems | Amateur | Amateur-satellite | Fixed | Land military systems | Maritime military systems | PMSE | Radiodetermination applications | Radiolocation (civil) | Radiolocation (military)"
"10.5 - 10.55 GHz (ECA17A)","FIXED  | MOBILE  | Radiolocation","BFWA | Fixed | PMSE | Radiodetermination applications"
"10.55 - 10.6 GHz (ECA17A)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | Radiolocation","BFWA | Fixed | PMSE | Radiodetermination applications"
"10.6 - 10.65 GHz (5.149 | 5.482 | 5.482A | ECA17A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY  | Radiolocation  | SPACE RESEARCH (PASSIVE)","BFWA | Fixed | PMSE | Passive sensors (satellite) | Radio astronomy"
"10.65 - 10.68 GHz (5.149 | 5.482 | 5.482A | ECA17A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | PMSE | Passive sensors (satellite) | Radio astronomy"
"10.68 - 10.7 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"10.7 - 10.95 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.484) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.441) | MOBILE EXCEPT AERONAUTICAL MOBILE  | Mobile-Satellite (space-to-Earth)","- | AES | FSS Earth stations | Fixed | HEST | LEST"
"10.95 - 11.2 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.484) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A | 5.484A) | MOBILE EXCEPT AERONAUTICAL MOBILE","AES | Fixed"
"11.2 - 11.45 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.484) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.441) | MOBILE EXCEPT AERONAUTICAL MOBILE","AES | Fixed"
"11.45 - 11.7 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.484) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A | 5.484A) | MOBILE EXCEPT AERONAUTICAL MOBILE","AES | Fixed"
"11.7 - 12.5 GHz (5.487 | 5.487A | ECA28)","BROADCASTING-SATELLITE (5.492) | FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE","- | Broadcasting (satellite) | HEST | LEST"
"12.5 - 12.75 GHz (5.496)","FIXED-SATELLITE (EARTH-TO-SPACE)  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A | 5.484A)","- | AES | FSS Earth stations | HEST | LEST"
"12.75 - 13.25 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.441)","FSS Earth stations | Fixed"
"13.25 - 13.4 GHz (5.498A | ECA26)","AERONAUTICAL RADIONAVIGATION (5.497) | EARTH EXPLORATION-SATELLITE (ACTIVE)  | SPACE RESEARCH (ACTIVE)","Active sensors (satellite) | Airborne doppler navigation aids | Maritime radar"
"13.4 - 13.65 GHz (5.501B | ECA26 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.499B | 5.499B) | RADIOLOCATION  | SPACE RESEARCH (5.499C | 5.499C)","- | Active sensors (satellite) | Airborne doppler navigation aids | FSS Earth stations | Maritime radar | Radiodetermination applications | Radiolocation (military)"
"13.65 - 13.75 GHz (5.501B | ECA26 | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | RADIOLOCATION  | SPACE RESEARCH (5.501A)","- | Active sensors (satellite) | Airborne doppler navigation aids | Maritime radar | Radiodetermination applications | Radiolocation (military)"
"13.75 - 14 GHz (5.502 | 5.503 | ECA26 | ECA36)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.484A) | RADIOLOCATION  | Space Research","- | FSS Earth stations | Maritime radar | Passive sensors (satellite) | Radiodetermination applications | Radiolocation (military)"
"14 - 14.25 GHz (5.504)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.506 | 5.506 | 5.506 | 5.506 | 5.506 | 5.506) | Mobile-Satellite (Earth-to-space) (5.504C | 5.504C | 5.504C) | Space Research","- | AES | ESV | HEST | LEST | MSS Earth stations | VSAT"
"14.25 - 14.3 GHz (5.504)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.506 | 5.506 | 5.506 | 5.506 | 5.506 | 5.506) | Mobile-Satellite (Earth-to-space) (5.508A | 5.508A | 5.508A) | Space Research","- | AES | ESV | MSS Earth stations | VSAT"
"14.3 - 14.4 GHz","FIXED-SATELLITE (EARTH-TO-SPACE) (5.506 | 5.506 | 5.506 | 5.506 | 5.506 | 5.506) | Mobile-Satellite (Earth-to-space) (5.509A | 5.509A | 5.509A)","- | AES | ESV | FSS Earth stations | Fixed | MSS Earth stations | VSAT"
"14.4 - 14.47 GHz (5.504A)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.506 | 5.506 | 5.506 | 5.506 | 5.506 | 5.506) | Mobile-Satellite (Earth-to-space) (5.509A | 5.509A | 5.509A)","- | AES | ESV | FSS Earth stations | MSS Earth stations | VSAT"
"14.47 - 14.5 GHz (5.149 | 5.504A)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.506 | 5.506 | 5.506) | Mobile-Satellite (Earth-to-space) (5.509A | 5.509A | 5.509A) | Radio Astronomy","- | AGA communications (civil) | ESV | FSS Earth stations | MSS Earth stations | Radio astronomy | VSAT"
"14.5 - 14.75 GHz (ECA20 | ECA36)","FIXED  | MOBILE  | Radio Astronomy","Aeronautical military systems | Fixed | Land military systems | Maritime military systems | Radio astronomy"
"14.75 - 14.8 GHz (ECA20 | ECA36)","FIXED  | MOBILE  | RADIO ASTRONOMY","Aeronautical military systems | Land military systems | Maritime military systems | Radio astronomy"
"14.8 - 15.35 GHz (5.339 | ECA20 | ECA36)","FIXED  | MOBILE  | Radio Astronomy","Aeronautical military systems | Fixed | Land military systems | Maritime military systems | Radio astronomy"
"15.35 - 15.4 GHz (5.340)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Passive sensors (satellite) | Radio astronomy"
"15.4 - 15.43 GHz","AERONAUTICAL RADIONAVIGATION  | RADIOLOCATION (5.511E | 5.511E)","Airborne doppler navigation aids | Radiolocation (civil)"
"15.43 - 15.63 GHz (5.511C)","AERONAUTICAL RADIONAVIGATION  | FIXED-SATELLITE (EARTH-TO-SPACE)  | RADIOLOCATION (5.511E | 5.511E)","Airborne doppler navigation aids | FSS Earth stations | Radiolocation (civil)"
"15.63 - 15.7 GHz","AERONAUTICAL RADIONAVIGATION  | RADIOLOCATION (5.511E | 5.511E)","Airborne doppler navigation aids | Radiolocation (civil)"
"15.7 - 16.6 GHz (ECA36)","RADIOLOCATION","Radiolocation (military)"
"16.6 - 17.1 GHz (ECA36)","RADIOLOCATION  | Space Research (deep space) (Earth-to-space)","Radiolocation (military)"
"17.1 - 17.2 GHz (ECA36)","Mobile  | RADIOLOCATION","GBSAR | Radiolocation (military)"
"17.2 - 17.3 GHz (5.513A | ECA36)","EARTH EXPLORATION-SATELLITE (ACTIVE)  | MOBILE  | RADIOLOCATION  | SPACE RESEARCH (ACTIVE)","GBSAR | Radiolocation (military)"
"17.3 - 17.7 GHz (ECA36)","FIXED-SATELLITE (EARTH-TO-SPACE) (5.516) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B) | Radiolocation","FSS Earth stations | Feeder links | GSO ESOMPs | NGSO ESOMPs | Radiolocation (military)"
"17.7 - 18.1 GHz","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.516) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A)","FSS Earth stations | Feeder links | Fixed | GSO ESOMPs | NGSO ESOMPs"
"18.1 - 18.3 GHz (5.519)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.520) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A) | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)","FSS Earth stations | Feeder links | Fixed | GSO ESOMPs | NGSO ESOMPs | Weather satellites"
"18.3 - 18.4 GHz (5.519)","FIXED  | FIXED-SATELLITE (EARTH-TO-SPACE) (5.520) | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A) | METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)","FSS Earth stations | Feeder links | Fixed | GSO ESOMPs | NGSO ESOMPs"
"18.4 - 18.6 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.484A)","FSS Earth stations | Fixed | GSO ESOMPs | NGSO ESOMPs"
"18.6 - 18.8 GHz (5.522A)","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.522B)","FSS Earth stations | Fixed | GSO ESOMPs | NGSO ESOMPs | Passive sensors (satellite)"
"18.8 - 19.3 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (5.523A)","FSS Earth stations | Fixed | GSO ESOMPs | NGSO ESOMPs"
"19.3 - 19.7 GHz","FIXED  | FIXED-SATELLITE (SPACE-TO-EARTH) (EARTH-TO-SPACE) (5.523B | 5.523B | 5.523B | 5.523B)","FSS Earth stations | Fixed | GSO ESOMPs | NGSO ESOMPs"
"19.7 - 20.1 GHz","FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B | 5.516B) | Mobile-Satellite (space-to-Earth)","FSS Earth stations | GSO ESOMPs | HEST | LEST | MSS Earth stations | NGSO ESOMPs"
"20.1 - 20.2 GHz (5.525 | 5.526 | 5.527 | 5.528)","FIXED-SATELLITE (SPACE-TO-EARTH) (5.516B | 5.516B | 5.516B) | MOBILE-SATELLITE (SPACE-TO-EARTH)","FSS Earth stations | GSO ESOMPs | HEST | LEST | MSS Earth stations | NGSO ESOMPs"
"20.2 - 21.2 GHz (ECA36)","FIXED-SATELLITE (SPACE-TO-EARTH)  | MOBILE-SATELLITE (SPACE-TO-EARTH)","MSS Earth stations | Satellite systems (military)"
"21.2 - 21.4 GHz","EARTH EXPLORATION-SATELLITE (PASSIVE)  | FIXED  | MOBILE  | SPACE RESEARCH (PASSIVE)","PMSE | Passive sensors (satellite)"
"21.4 - 22 GHz (5.530A | 5.530B | 5.530D)","BROADCASTING-SATELLITE (5.208B)","Broadcasting (satellite) | PMSE | SRR"
"22 - 22.21 GHz (5.149 | ECA17A)","FIXED  | MOBILE EXCEPT AERONAUTICAL MOBILE  | RADIO ASTRONOMY  | SPACE RESEARCH (PASSIVE)","Fixed | PMSE | Radio astronomy | SRR"
